종목코드,종목명,시장구분,현재가,등락률,거래량,시가총액
000020,동화약품,KOSPI,6600.0,1.85,90717.0,184347702000.0
000040,KR모터스,KOSPI,437.0,2.1,172058.0,26278063316.0
000050,경방,KOSPI,7310.0,-1.88,255981.0,200405623700.0
000070,삼양홀딩스,KOSPI,73500.0,-2.26,76347.0,638697507000.0
000075,삼양홀딩스우,KOSPI,71600.0,-2.05,1689.0,12785397200.0
000080,하이트진로,KOSPI,20200.0,-0.98,167494.0,1416698942200.0
000087,하이트진로2우B,KOSPI,15570.0,0.39,1853.0,17596248660.0
000100,유한양행,KOSPI,104300.0,-1.04,622208.0,8365805375200.0
000105,유한양행우,KOSPI,98900.0,0.82,3269.0,116794966000.0
000120,CJ대한통운,KOSPI,80400.0,-0.99,55967.0,1834112457600.0
000140,하이트진로홀딩스,KOSPI,9310.0,-0.64,68165.0,216054982150.0
000145,하이트진로홀딩스우,KOSPI,10940.0,0.64,883.0,5150661400.0
000150,두산,KOSPI,488000.0,-4.31,211826.0,8063631480000.0
000155,두산우,KOSPI,327500.0,-5.35,84513.0,1308841305000.0
000157,두산2우B,KOSPI,355000.0,-5.08,4693.0,317028490000.0
000180,성창기업지주,KOSPI,1455.0,1.04,144162.0,101488578000.0
000210,DL,KOSPI,44250.0,-4.01,132596.0,927297867000.0
000215,DL우,KOSPI,22400.0,-1.1,11336.0,37768976000.0
000220,유유제약,KOSPI,4615.0,-0.32,48343.0,78604299865.0
000225,유유제약1우,KOSPI,5230.0,0.58,10957.0,11856043900.0
000227,유유제약2우B,KOSPI,10350.0,1.87,1373.0,3369546000.0
000230,일동홀딩스,KOSPI,6760.0,-0.88,103898.0,78013104000.0
000240,한국앤컴퍼니,KOSPI,20300.0,2.06,1302629.0,1927185372000.0
000270,기아,KOSPI,89400.0,-4.08,1535385.0,35551933300800.0
000300,DH오토넥스,KOSPI,1984.0,0.0,0.0,162944308992.0
000320,노루홀딩스,KOSPI,18160.0,-1.25,157171.0,241367302160.0
000325,노루홀딩스우,KOSPI,30850.0,-2.06,1662.0,7513795150.0
000370,한화손해보험,KOSPI,4580.0,-2.45,471458.0,534664230700.0
000390,삼화페인트,KOSPI,6030.0,-0.66,11077.0,164036918070.0
000400,롯데손해보험,KOSPI,1638.0,0.99,183006.0,508330892160.0
000430,대원강업,KOSPI,3705.0,-0.54,11838.0,229710000000.0
000480,CR홀딩스,KOSPI,5330.0,-0.56,15543.0,249926311700.0
000490,대동,KOSPI,10820.0,-0.28,86820.0,277577794800.0
000500,가온전선,KOSPI,70400.0,-2.49,72661.0,1164635296000.0
000520,삼일제약,KOSPI,11100.0,0.09,83547.0,240779102100.0
000540,흥국화재,KOSPI,4200.0,0.0,211186.0,269819109000.0
000545,흥국화재우,KOSPI,8040.0,0.5,37310.0,6174720000.0
000590,CS홀딩스,KOSPI,82900.0,6.97,8763.0,95706557800.0
000640,동아쏘시오홀딩스,KOSPI,111900.0,0.9,20628.0,731426964600.0
000650,천일고속,KOSPI,40600.0,0.87,190.0,58026332000.0
000660,SK하이닉스,KOSPI,204500.0,-3.54,4826628.0,148876483642500.0
000670,영풍,KOSPI,39950.0,3.9,124597.0,763382577500.0
000680,LS네트웍스,KOSPI,3620.0,1.83,373068.0,285266917920.0
000700,유수홀딩스,KOSPI,6050.0,-0.82,30131.0,157552962600.0
000720,현대건설,KOSPI,63800.0,-4.63,3060752.0,7104497807000.0
000725,현대건설우,KOSPI,61300.0,-3.16,22042.0,64652680900.0
000760,이화산업,KOSPI,12070.0,3.34,1663.0,33796000000.0
000810,삼성화재,KOSPI,404500.0,1.25,247976.0,18611512197500.0
000815,삼성화재우,KOSPI,295000.0,0.51,11946.0,914355450000.0
000850,화천기공,KOSPI,31500.0,0.16,5799.0,69300000000.0
000860,강남제비스코,KOSPI,12480.0,0.16,36456.0,162240000000.0
000880,한화,KOSPI,75500.0,1.48,1288451.0,5659384492500.0
000885,한화우,KOSPI,45700.0,-3.48,1203.0,9095808100.0
00088K,한화3우B,KOSPI,29950.0,-1.64,477481.0,581163007950.0
000890,보해양조,KOSPI,546.0,-1.44,1705987.0,75959590434.0
000910,유니온,KOSPI,4600.0,-0.86,91257.0,71813447400.0
000950,전방,KOSPI,26800.0,2.1,5420.0,45024000000.0
000970,한국주철관,KOSPI,7070.0,0.43,37882.0,161199535000.0
000990,DB하이텍,KOSPI,39000.0,-1.27,71215.0,1731544932000.0
001020,페이퍼코리아,KOSPI,725.0,0.14,17313.0,129037901925.0
001040,CJ,KOSPI,136300.0,-2.36,340914.0,3976824827400.0
001045,CJ우,KOSPI,78000.0,0.26,16222.0,176297394000.0
00104K,CJ4우(전환),KOSPI,111500.0,-2.87,17797.0,471256088000.0
001060,JW중외제약,KOSPI,23200.0,1.75,98047.0,540233576000.0
001065,JW중외제약우,KOSPI,28950.0,0.0,370.0,9899481450.0
001067,JW중외제약2우B,KOSPI,63000.0,2.61,592.0,13228299000.0
001070,대한방직,KOSPI,6370.0,1.92,27273.0,33761000000.0
001080,만호제강,KOSPI,27600.0,1.1,790.0,114540000000.0
001120,LX인터내셔널,KOSPI,28300.0,-0.88,140088.0,1096908000000.0
001130,대한제분,KOSPI,142000.0,1.21,5286.0,239980000000.0
001140,국보,KOSPI,2110.0,0.0,0.0,33456978680.0
001200,유진투자증권,KOSPI,3365.0,-2.32,3484649.0,325955496570.0
001210,금호전기,KOSPI,1106.0,-1.34,98726.0,68078720682.0
001230,동국홀딩스,KOSPI,8000.0,0.5,126255.0,254403864000.0
001250,GS글로벌,KOSPI,2625.0,0.57,430379.0,216651130500.0
001260,남광토건,KOSPI,8900.0,1.83,22222.0,87509890800.0
001270,부국증권,KOSPI,36950.0,-0.94,19477.0,383167287700.0
001275,부국증권우,KOSPI,23800.0,0.0,5073.0,71400000000.0
001290,상상인증권,KOSPI,704.0,2.77,44962668.0,76269332480.0
001340,PKC,KOSPI,5660.0,-0.53,68854.0,254238183620.0
001360,삼성제약,KOSPI,1617.0,0.5,266009.0,152260081743.0
001380,SG글로벌,KOSPI,1780.0,-1.06,157566.0,80036174540.0
001390,KG케미칼,KOSPI,4415.0,0.91,886816.0,302290811600.0
001420,태원물산,KOSPI,4000.0,0.0,5017.0,30400000000.0
001430,세아베스틸지주,KOSPI,23400.0,5.17,449955.0,839173584600.0
001440,대한전선,KOSPI,12780.0,-0.47,802466.0,2382796494000.0
001450,현대해상,KOSPI,24350.0,-3.18,677274.0,2176890000000.0
